序号,封面,机器判的类型,机器判的档,人判的类型（请填）,对不对（对/错）,评论数
1,越看越绝望,普通陈述,日常讲述,,,18
2,北京老破小避坑大全,清单攻略,清单行情,,,0
3,上海房价跌了，人看清了,行情通报,清单行情,,,3
4,北京月薪多少才敢买房？ 月薪一万五根本买不起房子咋办呢#北京找工作 #北京楼市 #北京新房 #北京买房 #北京购房资格,开口提问,日常讲述,,,9
5,北京刚需买房，贷款200万，是选择20年少付几十万利息，还是选择30年每个月少还3000，到底怎么选？ #买房子建议 #刚需买房 #贷款买房 #买房 #刚需房,两难选择,二选一,,,35
6,首付差10万，他让我去借,数字摆事实,日常讲述,,,15
7,婚房变同住一键窒息,普通陈述,日常讲述,,,3
8,队友觉得新房装修省心有面子，我觉得同预算二手房买的地段、面积都要好得多，何必非要新房，大家买房平时会坚持买新房吗？ #上海买房 #上海二手房 #上海新盘 #买房分歧 #,开口提问,日常讲述,,,148
9,深圳100万买房跑断腿,数字摆事实,日常讲述,,,30
10,朝阳还是丰台？北京买房纠结,两难选择,二选一,,,0
11,上海月入两万五不敢看房,普通陈述,日常讲述,,,15
12,北京老破小拆旧费用避坑,清单攻略,清单行情,,,4
13,北京看房崩塌瞬间,普通陈述,日常讲述,,,28
14,深圳赚钱买房的真相,普通陈述,日常讲述,,,9
15,捡漏机会可能变少,普通陈述,日常讲述,,,1
16,被中介气到想害人,转述别人,日常讲述,,,0
17,北京看房37套后悟了,普通陈述,日常讲述,,,1
18,沪漂攒钱买房，公积金真相,普通陈述,日常讲述,,,1
19,总价300万北京买房实录,踩坑复盘,日常讲述,,,0
20,围城里的深圳人,普通陈述,日常讲述,,,0
21,是在上海买400万的房子，还是租6000一个月的房子生活？#上海房价 #上海老房子 #上海看房 #上海买房 #上海,两难选择,二选一,,,189
22,一人说一个北京哪些小区要避雷的！ #北京买房 #一线城市房价上涨 #房价趋势 #北京新房 #北京二手房,清单攻略,清单行情,,,0
23,深圳结婚买房预算300万,普通陈述,日常讲述,,,52
24,被远郊新盘吓退的瞬间,普通陈述,日常讲述,,,0
25,金山是不是上海最远的，买房是不是要避开？ 或者还有哪里也要避开的 #上海看房 #上海好房推荐 #上海金山 #上海的房子 #上海好房,开口提问,日常讲述,,,206
26,去年看200万的老破小还能挑挑拣拣，今年同户型涨了快30万，房东还一副爱买不买的嘴脸。同事劝我别接盘，但房租也一年涨两三回，房东的猫比我都住得踏实。 #深圳买房 #买房纠结 #深漂买房 #刚需买房 #楼市,转述别人,日常讲述,,,2
27,跟对象在上海五年，准备明年办事,转述别人,日常讲述,,,11
28,500万深圳学区房现实,数字摆事实,日常讲述,,,0
29,上海老破小看房实录,踩坑复盘,日常讲述,,,4
30,看房一年终于买了,普通陈述,日常讲述,,,6
31,朝北老破小能买来自住吗,开口提问,日常讲述,,,175
32,100万深圳只有两难选择,两难选择,二选一,,,0
33,上海现房销售还要多久,转述别人,日常讲述,,,9
34,5年涨了为何劝你别买,行情通报,清单行情,,,4
35,09月01日最新数据，上周北京新房成交1081套，环比暴涨80%！8月31日二手网签947套，周末带看量明显回暖。8.28央行刚放大招，房贷期限最长延至40年，虽部分银行还在等细则，但信号已明：不搞大水漫灌，主打精准托底。加上非京籍社保降至1年，刚需门槛大降。金九行情已稳，别等涨了再拍大腿！#买房人的心态 #北京买房 #楼市新政 #买房踩坑,行情通报,清单行情,,,0
36,15平亭子间做婚房行吗,开口提问,日常讲述,,,2
37,深圳老破小还能买吗,开口提问,日常讲述,,,1
38,上海公积金另类用法,普通陈述,日常讲述,,,5
39,上海买房和租房对比,普通陈述,日常讲述,,,9
40,300万买上海地铁房实录,踩坑复盘,日常讲述,,,41
41,中介带看离谱,转述别人,日常讲述,,,16
42,楼市观察,普通陈述,日常讲述,,,7
43,80万首付的尴尬,数字摆事实,日常讲述,,,34
44,深圳首付120万只能看这里,数字摆事实,日常讲述,,,45
45,定居上海的话，住哪里最舒服啊！大家有推荐吗？#上海你好 #魔都上海 #上海买房 #上海买房攻略 #上海,开口提问,日常讲述,,,40
46,首付100万能买深圳哪,数字摆事实,日常讲述,,,71
47,上海看房一年心态变化,普通陈述,日常讲述,,,11
48,学区房降价该不该买,两难选择,二选一,,,4
49,贷40年利息多到肉疼,数字摆事实,日常讲述,,,27
50,社保满了房老了,普通陈述,日常讲述,,,1
